transaction_id,city,transaction_date,card_type,exp_type,gender,amount
96,Bengaluru,03-02-2015,Gold,Bills,F,466727.00
97,Bengaluru,01-11-2013,Gold,Bills,F,896384.00
98,Delhi,07-12-2013,Signature,Bills,F,712001.00
99,Greater Mumbai,05-08-2014,Silver,Bills,F,246865.00
100,Greater Mumbai,08-01-2015,Signature,Bills,F,858729.00
101,Delhi,11-04-2015,Platinum,Bills,F,581882.00
102,Greater Mumbai,15-02-2015,Signature,Bills,F,646426.00
103,Bengaluru,24-03-2015,Silver,Bills,F,687088.00
104,Bengaluru,13-10-2013,Signature,Bills,F,973026.00
105,Greater Mumbai,24-04-2015,Silver,Bills,F,944398.00
106,Ahmedabad,09-11-2014,Platinum,Bills,F,414422.00
107,Bengaluru,04-02-2015,Signature,Bills,F,408503.00
108,Bengaluru,06-03-2014,Signature,Bills,F,984466.00
109,Greater Mumbai,27-03-2014,Gold,Bills,F,919997.00
110,Greater Mumbai,13-11-2013,Signature,Bills,F,535101.00
111,Greater Mumbai,22-10-2013,Signature,Bills,F,978301.00
112,Greater Mumbai,27-09-2014,Gold,Bills,F,880406.00
113,Ahmedabad,14-11-2014,Silver,Bills,F,447241.00
114,Bengaluru,21-10-2013,Platinum,Bills,F,382191.00
115,Bengaluru,15-05-2015,Silver,Bills,F,775859.00
116,Bengaluru,21-03-2014,Platinum,Bills,F,832637.00
117,Bengaluru,03-04-2015,Platinum,Bills,F,458526.00
118,Ahmedabad,06-04-2015,Signature,Bills,F,440995.00
119,Ahmedabad,05-11-2013,Platinum,Bills,F,490128.00
120,Delhi,07-10-2013,Platinum,Bills,F,897079.00
121,Delhi,31-10-2014,Gold,Bills,F,431948.00
122,Bengaluru,03-04-2014,Silver,Bills,F,228072.00
123,Delhi,21-11-2013,Gold,Bills,F,757649.00
124,Delhi,11-05-2014,Signature,Bills,F,919877.00
125,Greater Mumbai,23-05-2014,Gold,Bills,F,605615.00
126,Bengaluru,22-05-2015,Platinum,Bills,F,500852.00
127,Greater Mumbai,15-02-2015,Signature,Bills,F,488136.00
128,Delhi,16-06-2014,Gold,Bills,F,937828.00
129,Delhi,27-01-2014,Gold,Bills,F,315873.00
130,Greater Mumbai,20-05-2015,Silver,Bills,F,567623.00
131,Greater Mumbai,29-10-2013,Platinum,Bills,F,555123.00
132,Bengaluru,20-04-2014,Gold,Bills,F,498843.00
133,Greater Mumbai,23-05-2014,Silver,Bills,F,752610.00
134,Greater Mumbai,11-03-2015,Platinum,Bills,F,494540.00
135,Delhi,27-10-2013,Gold,Bills,F,996754.00
136,Ahmedabad,14-07-2014,Signature,Bills,F,245572.00
137,Delhi,18-04-2014,Gold,Bills,F,974384.00
138,Ahmedabad,25-03-2014,Silver,Bills,F,846635.00
139,Ahmedabad,01-09-2014,Silver,Bills,F,635473.00
140,Delhi,23-03-2015,Gold,Bills,F,224510.00
141,Delhi,24-01-2015,Silver,Bills,F,478671.00
142,Greater Mumbai,04-10-2013,Gold,Bills,F,990700.00
143,Delhi,14-03-2014,Gold,Bills,F,228565.00
144,Bengaluru,03-01-2014,Silver,Bills,F,297732.00
145,Greater Mumbai,03-12-2014,Signature,Bills,F,559262.00
146,Bengaluru,01-07-2014,Signature,Bills,F,809907.00
147,Ahmedabad,21-08-2014,Signature,Bills,F,428316.00
148,Ahmedabad,05-03-2014,Signature,Bills,F,275065.00
149,Bengaluru,20-04-2014,Silver,Bills,F,845653.00
150,Ahmedabad,20-11-2013,Signature,Bills,F,236296.00
151,Bengaluru,25-09-2014,Signature,Bills,F,440572.00
152,Ahmedabad,06-02-2015,Gold,Bills,F,478115.00
153,Bengaluru,26-10-2013,Gold,Bills,F,897621.00
154,Greater Mumbai,06-05-2015,Signature,Bills,F,554281.00
155,Delhi,30-09-2014,Silver,Bills,F,245452.00
156,Delhi,17-01-2014,Platinum,Bills,F,365045.00
157,Greater Mumbai,11-01-2015,Gold,Bills,F,496047.00
158,Bengaluru,11-02-2015,Silver,Bills,F,466814.00
159,Bengaluru,10-11-2014,Gold,Bills,F,835177.00
160,Delhi,12-01-2015,Silver,Bills,F,219698.00
161,Bengaluru,18-10-2014,Silver,Bills,F,784541.00
162,Delhi,25-10-2013,Signature,Bills,F,576994.00
163,Bengaluru,15-05-2015,Gold,Bills,F,464663.00
164,Bengaluru,03-05-2014,Platinum,Bills,F,380270.00
165,Ahmedabad,02-10-2014,Silver,Bills,F,772082.00
166,Delhi,09-04-2015,Gold,Bills,F,230853.00
167,Bengaluru,06-10-2013,Signature,Bills,F,677654.00
168,Greater Mumbai,05-02-2014,Signature,Bills,F,929247.00
169,Ahmedabad,09-04-2015,Platinum,Bills,F,851374.00
170,Ahmedabad,19-01-2014,Platinum,Bills,F,637600.00
171,Greater Mumbai,09-11-2013,Platinum,Bills,F,681749.00
172,Delhi,25-03-2014,Silver,Bills,F,847958.00
173,Greater Mumbai,18-02-2014,Gold,Bills,F,877569.00
174,Ahmedabad,14-10-2013,Platinum,Bills,F,450413.00
175,Bengaluru,01-05-2015,Signature,Bills,F,219041.00
176,Bengaluru,31-12-2014,Gold,Bills,F,866572.00
177,Greater Mumbai,26-03-2014,Signature,Bills,F,570791.00
178,Ahmedabad,28-04-2014,Silver,Bills,F,705464.00
179,Greater Mumbai,06-04-2014,Signature,Bills,F,806821.00
180,Greater Mumbai,27-03-2014,Platinum,Bills,F,515472.00
181,Ahmedabad,23-09-2014,Silver,Bills,F,352207.00
182,Ahmedabad,04-03-2015,Gold,Bills,F,342761.00
183,Bengaluru,27-02-2014,Signature,Bills,F,249099.00
184,Ahmedabad,27-08-2014,Platinum,Bills,F,995634.00
185,Bengaluru,12-12-2014,Signature,Bills,F,435097.00
186,Ahmedabad,16-06-2014,Platinum,Bills,F,797815.00
187,Delhi,02-01-2014,Gold,Bills,F,326922.00
188,Bengaluru,11-12-2014,Gold,Bills,F,396241.00
189,Delhi,14-12-2014,Gold,Bills,F,486949.00
190,Greater Mumbai,17-01-2014,Gold,Bills,F,333483.00
191,Ahmedabad,05-10-2013,Platinum,Bills,F,612572.00
192,Bengaluru,18-03-2015,Silver,Bills,F,327244.00
193,Ahmedabad,04-02-2014,Silver,Bills,F,955468.00
194,Greater Mumbai,25-02-2015,Gold,Bills,F,927864.00
195,Delhi,28-03-2014,Signature,Bills,F,555220.00
196,Delhi,28-12-2014,Silver,Bills,F,952640.00
197,Ahmedabad,31-05-2014,Silver,Bills,F,695749.00
198,Greater Mumbai,22-08-2014,Platinum,Bills,F,365724.00
199,Greater Mumbai,03-03-2015,Platinum,Bills,F,738108.00
200,Ahmedabad,17-01-2015,Platinum,Bills,F,650785.00
201,Delhi,23-10-2014,Signature,Bills,F,611486.00
202,Bengaluru,05-08-2014,Platinum,Bills,F,965721.00
203,Ahmedabad,12-10-2014,Gold,Bills,F,413052.00
204,Ahmedabad,22-01-2014,Silver,Bills,F,584822.00
205,Ahmedabad,25-03-2015,Gold,Bills,F,980146.00
206,Ahmedabad,10-10-2014,Signature,Bills,F,926072.00
207,Delhi,16-04-2014,Silver,Bills,F,482394.00
208,Bengaluru,21-02-2014,Signature,Bills,F,718346.00
209,Bengaluru,24-04-2014,Silver,Bills,F,491598.00
210,Delhi,07-09-2014,Platinum,Bills,F,848852.00
211,Bengaluru,28-12-2014,Gold,Bills,F,396139.00
212,Ahmedabad,13-10-2014,Signature,Bills,F,856974.00
213,Ahmedabad,03-04-2015,Signature,Bills,F,855990.00
214,Delhi,16-02-2015,Signature,Bills,F,924776.00
215,Greater Mumbai,03-04-2014,Signature,Bills,F,204850.00
216,Delhi,03-11-2013,Platinum,Bills,F,780669.00
217,Greater Mumbai,17-04-2014,Signature,Bills,F,887442.00
218,Delhi,22-01-2014,Signature,Bills,F,297820.00
219,Delhi,14-03-2015,Signature,Bills,F,687879.00
220,Greater Mumbai,13-10-2013,Silver,Bills,F,738456.00
221,Delhi,24-08-2014,Platinum,Bills,F,378535.00
222,Greater Mumbai,09-05-2015,Silver,Bills,F,334116.00
223,Delhi,07-06-2014,Silver,Bills,F,772360.00
224,Ahmedabad,26-11-2014,Gold,Bills,F,580796.00
225,Greater Mumbai,21-10-2014,Silver,Bills,F,855465.00
226,Greater Mumbai,15-06-2014,Gold,Bills,F,978989.00
227,Ahmedabad,25-04-2015,Gold,Bills,F,451874.00
228,Ahmedabad,07-09-2014,Silver,Bills,F,670750.00
229,Bengaluru,19-05-2015,Signature,Bills,F,977951.00
230,Delhi,23-02-2014,Platinum,Bills,F,403466.00
231,Delhi,28-10-2013,Signature,Bills,F,861177.00
232,Ahmedabad,17-12-2014,Gold,Bills,F,528612.00
233,Ahmedabad,04-12-2014,Signature,Bills,F,339670.00
234,Delhi,18-11-2013,Signature,Bills,F,963751.00
235,Ahmedabad,30-11-2014,Gold,Bills,F,761930.00
236,Ahmedabad,21-08-2014,Signature,Bills,F,852806.00
237,Delhi,25-05-2014,Signature,Bills,F,207755.00
238,Greater Mumbai,19-04-2015,Gold,Bills,F,489540.00
239,Ahmedabad,25-03-2014,Silver,Bills,F,274395.00
240,Bengaluru,11-02-2014,Platinum,Bills,F,566945.00
241,Ahmedabad,09-12-2014,Gold,Bills,F,705690.00
242,Bengaluru,25-03-2014,Gold,Bills,F,894888.00
243,Greater Mumbai,02-01-2014,Platinum,Bills,F,811899.00
244,Greater Mumbai,25-12-2014,Silver,Bills,F,677645.00
245,Greater Mumbai,16-10-2014,Platinum,Bills,F,326162.00
246,Delhi,19-04-2015,Platinum,Bills,F,316946.00
247,Delhi,20-01-2014,Platinum,Bills,F,622373.00
248,Bengaluru,10-05-2014,Signature,Bills,F,640653.00
249,Ahmedabad,09-01-2015,Signature,Bills,F,745493.00
250,Delhi,31-10-2013,Gold,Bills,F,868021.00
251,Delhi,28-11-2014,Platinum,Bills,F,284923.00
252,Bengaluru,21-07-2014,Platinum,Bills,F,814422.00
253,Bengaluru,22-04-2015,Gold,Bills,F,599741.00
254,Ahmedabad,10-06-2014,Platinum,Bills,F,804560.00
255,Ahmedabad,17-04-2015,Gold,Bills,F,996291.00
256,Ahmedabad,09-11-2013,Platinum,Bills,F,477553.00
257,Delhi,02-01-2015,Gold,Bills,F,216028.00
258,Greater Mumbai,10-03-2015,Signature,Bills,F,275427.00
259,Delhi,22-12-2013,Silver,Bills,F,722048.00
260,Delhi,14-02-2015,Silver,Bills,F,292365.00
261,Ahmedabad,30-01-2015,Silver,Bills,F,400393.00
262,Greater Mumbai,01-04-2014,Platinum,Bills,F,219720.00
263,Delhi,15-02-2015,Signature,Bills,F,981404.00
264,Bengaluru,24-11-2014,Signature,Bills,F,639670.00
265,Bengaluru,07-08-2014,Gold,Bills,F,814333.00
266,Ahmedabad,17-10-2013,Gold,Bills,F,569582.00
267,Ahmedabad,25-05-2014,Gold,Bills,F,954111.00
268,Ahmedabad,16-05-2014,Gold,Bills,F,635267.00
269,Delhi,11-10-2013,Gold,Bills,F,393651.00
270,Ahmedabad,02-06-2014,Platinum,Bills,F,572306.00
271,Ahmedabad,06-08-2014,Silver,Bills,F,407647.00
272,Greater Mumbai,26-01-2015,Gold,Bills,F,734396.00
273,Delhi,02-03-2015,Platinum,Bills,F,224414.00
274,Ahmedabad,10-09-2014,Signature,Bills,F,203194.00
275,Greater Mumbai,22-01-2015,Gold,Bills,F,250410.00
276,Delhi,04-04-2015,Silver,Bills,F,830697.00
277,Greater Mumbai,16-05-2014,Platinum,Bills,F,790800.00
278,Greater Mumbai,22-02-2014,Silver,Bills,F,638570.00
279,Greater Mumbai,13-08-2014,Silver,Bills,F,380409.00
280,Greater Mumbai,01-04-2014,Gold,Bills,F,601631.00
281,Ahmedabad,08-01-2014,Gold,Bills,F,690534.00
282,Ahmedabad,05-03-2015,Silver,Bills,F,423661.00
283,Greater Mumbai,08-12-2014,Silver,Bills,F,936294.00
284,Bengaluru,29-11-2014,Platinum,Bills,F,537050.00
285,Delhi,08-03-2015,Silver,Bills,F,899343.00
286,Greater Mumbai,25-11-2013,Platinum,Bills,F,834691.00
287,Ahmedabad,13-04-2015,Silver,Bills,F,240216.00
288,Greater Mumbai,15-04-2014,Signature,Bills,F,424370.00
289,Delhi,13-02-2015,Silver,Bills,F,593991.00
290,Greater Mumbai,02-10-2014,Signature,Bills,F,768467.00
291,Delhi,07-02-2015,Gold,Bills,F,781959.00
292,Bengaluru,27-12-2014,Platinum,Bills,F,553907.00
293,Bengaluru,04-08-2014,Platinum,Bills,F,308622.00
294,Greater Mumbai,05-05-2015,Signature,Bills,F,912334.00
295,Delhi,28-01-2015,Silver,Bills,F,586474.00
296,Delhi,06-04-2014,Gold,Bills,F,521237.00
297,Delhi,30-10-2013,Signature,Bills,F,446266.00
298,Greater Mumbai,30-09-2014,Platinum,Bills,F,511168.00
299,Bengaluru,28-12-2013,Signature,Bills,F,608438.00
300,Delhi,18-10-2014,Gold,Bills,F,973519.00
301,Delhi,28-11-2014,Platinum,Bills,F,688577.00
302,Bengaluru,12-05-2014,Silver,Bills,F,686619.00
303,Greater Mumbai,06-11-2014,Signature,Bills,F,255982.00
304,Greater Mumbai,02-03-2014,Signature,Bills,F,464656.00
305,Delhi,19-04-2015,Signature,Bills,F,212319.00
306,Greater Mumbai,18-04-2015,Platinum,Bills,F,307563.00
307,Delhi,15-04-2015,Silver,Bills,F,407564.00
308,Bengaluru,12-10-2014,Signature,Bills,F,331349.00
309,Delhi,14-04-2015,Silver,Bills,F,391325.00
310,Ahmedabad,07-10-2014,Silver,Bills,F,530244.00
311,Greater Mumbai,16-04-2014,Signature,Bills,F,668736.00
312,Bengaluru,03-12-2014,Gold,Bills,F,517448.00
313,Ahmedabad,03-08-2014,Platinum,Bills,F,788531.00
314,Ahmedabad,17-03-2014,Gold,Bills,F,474729.00
315,Bengaluru,16-01-2015,Platinum,Bills,F,590841.00
316,Greater Mumbai,05-01-2014,Platinum,Bills,F,608427.00
317,Delhi,02-05-2015,Silver,Bills,F,719835.00
318,Delhi,30-12-2013,Signature,Bills,F,375139.00
319,Bengaluru,19-05-2014,Platinum,Bills,F,229589.00
320,Bengaluru,05-07-2014,Signature,Bills,F,376453.00
321,Delhi,10-10-2013,Signature,Bills,F,360009.00
322,Ahmedabad,03-08-2014,Signature,Bills,F,770346.00
323,Greater Mumbai,23-05-2015,Signature,Bills,F,489043.00
324,Bengaluru,11-11-2014,Platinum,Bills,F,503037.00
325,Greater Mumbai,11-01-2014,Platinum,Bills,F,731261.00
326,Ahmedabad,14-02-2014,Signature,Bills,F,262755.00
327,Greater Mumbai,16-07-2014,Gold,Bills,F,825475.00
328,Greater Mumbai,24-02-2014,Platinum,Bills,F,922630.00
329,Delhi,25-09-2014,Gold,Bills,F,752172.00
330,Ahmedabad,11-06-2014,Gold,Bills,F,418009.00
331,Delhi,07-06-2014,Signature,Bills,F,994537.00
332,Greater Mumbai,02-08-2014,Silver,Bills,F,922206.00
333,Greater Mumbai,21-05-2014,Signature,Bills,F,389097.00
334,Bengaluru,04-04-2015,Signature,Bills,F,880778.00
335,Greater Mumbai,03-03-2015,Gold,Bills,F,327971.00
336,Bengaluru,02-03-2014,Signature,Bills,F,689201.00
337,Bengaluru,17-05-2015,Silver,Bills,F,792440.00
338,Bengaluru,17-03-2015,Signature,Bills,F,602222.00
339,Ahmedabad,03-09-2014,Platinum,Bills,F,502399.00
340,Ahmedabad,17-03-2014,Silver,Bills,F,272804.00
341,Bengaluru,06-06-2014,Platinum,Bills,F,613280.00
342,Delhi,17-10-2014,Signature,Bills,F,876491.00
343,Bengaluru,25-02-2014,Silver,Bills,F,820217.00
344,Greater Mumbai,06-09-2014,Signature,Bills,F,994184.00
345,Ahmedabad,07-12-2013,Platinum,Bills,F,515263.00
346,Ahmedabad,28-08-2014,Signature,Bills,F,338527.00
347,Ahmedabad,16-06-2014,Silver,Bills,F,934683.00
348,Ahmedabad,07-07-2014,Signature,Bills,F,454570.00
349,Greater Mumbai,28-01-2015,Gold,Bills,F,654519.00
350,Ahmedabad,12-06-2014,Gold,Bills,F,958047.00
351,Bengaluru,03-11-2013,Silver,Bills,F,465281.00
352,Ahmedabad,31-12-2013,Signature,Bills,F,653161.00
353,Ahmedabad,14-04-2014,Gold,Bills,F,307350.00
354,Greater Mumbai,27-08-2014,Silver,Bills,F,41002.00
355,Bengaluru,03-01-2014,Silver,Bills,F,34743.00
356,Bengaluru,26-09-2014,Signature,Bills,F,195589.00
357,Bengaluru,10-03-2014,Signature,Bills,F,204735.00
358,Ahmedabad,14-05-2014,Signature,Bills,F,118112.00
359,Greater Mumbai,12-12-2013,Platinum,Bills,F,61572.00
360,Delhi,25-02-2015,Gold,Bills,F,274938.00
361,Greater Mumbai,21-02-2014,Signature,Bills,F,43854.00
362,Delhi,27-04-2014,Gold,Bills,F,8798.00
363,Greater Mumbai,08-05-2015,Gold,Bills,F,192241.00
364,Bengaluru,10-04-2014,Silver,Bills,F,128164.00
365,Delhi,28-04-2014,Signature,Bills,F,249061.00
366,Greater Mumbai,29-01-2014,Gold,Bills,F,275283.00
367,Greater Mumbai,03-01-2014,Platinum,Bills,F,172194.00
368,Ahmedabad,13-05-2015,Gold,Bills,F,13162.00
369,Bengaluru,05-02-2015,Platinum,Bills,F,3427.00
370,Bengaluru,07-01-2015,Gold,Bills,F,171374.00
371,Delhi,19-02-2015,Signature,Bills,F,286251.00
372,Ahmedabad,19-10-2014,Platinum,Bills,F,123417.00
373,Delhi,03-12-2013,Silver,Bills,F,81088.00
374,Ahmedabad,26-10-2014,Signature,Bills,F,64113.00
375,Bengaluru,27-03-2014,Platinum,Bills,F,54374.00
376,Ahmedabad,18-03-2015,Signature,Bills,F,175515.00
377,Delhi,25-11-2013,Gold,Bills,F,78773.00
378,Bengaluru,25-06-2014,Signature,Bills,F,143515.00
379,Delhi,22-11-2014,Silver,Bills,F,263613.00
380,Greater Mumbai,22-04-2015,Platinum,Bills,F,265434.00
381,Delhi,03-06-2014,Signature,Bills,F,87839.00
382,Delhi,16-06-2014,Signature,Bills,F,60905.00
383,Delhi,09-04-2015,Platinum,Bills,F,199726.00
384,Delhi,20-01-2015,Silver,Bills,F,267896.00
385,Ahmedabad,31-12-2013,Gold,Bills,F,198937.00
386,Greater Mumbai,02-10-2014,Gold,Bills,F,90745.00
387,Greater Mumbai,24-07-2014,Silver,Bills,F,86676.00
388,Greater Mumbai,08-05-2015,Platinum,Bills,F,163574.00
389,Greater Mumbai,27-04-2015,Signature,Bills,F,2138.00
390,Bengaluru,11-06-2014,Silver,Bills,F,253749.00
391,Delhi,06-06-2014,Platinum,Bills,F,60187.00
392,Bengaluru,03-03-2015,Platinum,Bills,F,15566.00
393,Greater Mumbai,11-07-2014,Signature,Bills,F,242144.00
394,Delhi,17-03-2014,Platinum,Bills,F,114049.00
395,Bengaluru,17-03-2014,Gold,Bills,F,100992.00
396,Delhi,03-03-2014,Silver,Bills,F,173017.00
397,Greater Mumbai,07-06-2014,Gold,Bills,F,279567.00
398,Delhi,28-12-2013,Signature,Bills,F,25016.00
399,Delhi,11-11-2013,Silver,Bills,F,157982.00
400,Bengaluru,17-05-2014,Signature,Bills,F,240387.00
401,Delhi,31-08-2014,Platinum,Bills,F,134030.00
402,Bengaluru,26-01-2015,Gold,Bills,F,108651.00
403,Delhi,17-01-2014,Gold,Bills,F,138617.00
404,Bengaluru,27-01-2014,Signature,Bills,F,98963.00
405,Delhi,24-12-2013,Silver,Bills,F,25486.00
406,Delhi,03-03-2015,Gold,Bills,F,231140.00
407,Ahmedabad,22-10-2013,Gold,Bills,F,20032.00
408,Greater Mumbai,14-01-2015,Gold,Bills,F,293938.00
409,Delhi,11-01-2014,Silver,Bills,F,88175.00
410,Ahmedabad,07-02-2015,Platinum,Bills,F,105297.00
411,Delhi,08-10-2013,Platinum,Bills,F,129169.00
412,Greater Mumbai,14-08-2014,Signature,Bills,F,172386.00
413,Greater Mumbai,09-05-2015,Platinum,Bills,F,46369.00
414,Greater Mumbai,02-04-2014,Silver,Bills,F,158636.00
415,Delhi,26-11-2014,Signature,Bills,F,87219.00
416,Delhi,16-11-2014,Gold,Bills,F,183445.00
417,Bengaluru,27-06-2014,Silver,Bills,F,147977.00
418,Ahmedabad,19-11-2014,Platinum,Bills,F,243279.00
419,Bengaluru,04-04-2014,Platinum,Bills,F,243950.00
420,Delhi,14-04-2015,Silver,Bills,F,32548.00
421,Delhi,09-12-2013,Platinum,Bills,F,118126.00
422,Greater Mumbai,30-11-2013,Platinum,Bills,F,13325.00
423,Greater Mumbai,16-02-2014,Gold,Bills,F,295055.00
424,Greater Mumbai,12-01-2015,Platinum,Bills,F,64764.00
425,Bengaluru,03-02-2014,Platinum,Bills,F,174520.00
426,Delhi,05-11-2013,Signature,Bills,F,72763.00
427,Greater Mumbai,27-09-2014,Signature,Bills,F,269809.00
428,Delhi,29-06-2014,Silver,Bills,F,81145.00
429,Ahmedabad,13-07-2014,Silver,Bills,F,25948.00
430,Greater Mumbai,23-01-2015,Silver,Bills,F,120188.00
431,Greater Mumbai,05-12-2014,Signature,Bills,F,8259.00
432,Delhi,15-04-2014,Signature,Bills,F,285830.00
433,Bengaluru,27-04-2015,Gold,Bills,F,67039.00
434,Ahmedabad,25-07-2014,Gold,Bills,F,14370.00
435,Ahmedabad,10-10-2014,Platinum,Bills,F,54304.00
436,Greater Mumbai,18-10-2013,Gold,Bills,F,188856.00
437,Ahmedabad,18-01-2014,Gold,Bills,F,44635.00
438,Greater Mumbai,22-11-2013,Platinum,Bills,F,227273.00
439,Delhi,26-03-2014,Gold,Bills,F,234200.00
440,Delhi,12-12-2014,Signature,Bills,F,79053.00
441,Greater Mumbai,01-03-2015,Silver,Bills,F,49711.00
442,Greater Mumbai,29-10-2014,Signature,Bills,F,203463.00
